TIMESTAMP,trap-xcor,trap-ycor
2010-01-01 12:00:12.314,10.0,-9.0
2010-01-01 12:00:12.330,-5.0,6.0
2010-01-01 12:00:12.360,2.0,-10.0
2010-01-01 12:00:12.366,9.0,11.0
2010-01-01 12:00:12.381,3.0,6.0
2010-01-01 12:00:12.409,14.0,2.0
2010-01-01 12:00:12.415,7.0,-15.0
2010-01-01 12:00:12.437,14.0,-5.0
2010-01-01 12:00:12.459,16.0,-6.0
2010-01-01 12:00:12.465,-5.0,7.0
2010-01-01 12:00:12.466,6.0,8.0
2010-01-01 12:00:12.498,2.0,6.0
2010-01-01 12:00:12.504,-14.0,10.0
2010-01-01 12:00:12.505,12.0,-9.0
2010-01-01 12:00:12.510,-1.0,12.0
2010-01-01 12:00:12.512,1.0,10.0
2010-01-01 12:00:12.524,6.0,1.0
2010-01-01 12:00:12.571,0.0,11.0
2010-01-01 12:00:12.581,2.0,12.0
2010-01-01 12:00:12.583,-14.0,8.0
2010-01-01 12:00:12.589,6.0,-12.0
2010-01-01 12:00:12.590,-4.0,16.0
2010-01-01 12:00:12.598,8.0,4.0
2010-01-01 12:00:12.604,5.0,-1.0
2010-01-01 12:00:12.610,11.0,4.0
2010-01-01 12:00:12.631,15.0,0.0
2010-01-01 12:00:12.641,10.0,-15.0
2010-01-01 12:00:12.657,15.0,-5.0
